Board_ID,Difficulty,Algorithm,Threads,Rep,Time_s,Nodes,Correct
easy_005,Easy,OpenMP,16,2,0.030555964,71,1
easy_005,Easy,OpenMP,16,3,0.018874884,71,1
easy_005,Easy,OpenMP,16,4,0.020573139,71,1
easy_005,Easy,OpenMP,16,5,0.071191072,71,1
easy_005,Easy,OMP-BranchBoundMRV,4,1,0.001269102,71,1
easy_005,Easy,OMP-BranchBoundMRV,4,2,0.001265049,71,1
easy_005,Easy,OMP-BranchBoundMRV,4,3,0.001253128,71,1
easy_005,Easy,OMP-BranchBoundMRV,4,4,0.001241922,71,1
easy_005,Easy,OMP-BranchBoundMRV,4,5,0.001250029,71,1
easy_005,Easy,OMP-BranchBoundMRV,8,1,0.001267195,71,1
easy_005,Easy,OMP-BranchBoundMRV,8,2,0.001307011,71,1
easy_005,Easy,OMP-BranchBoundMRV,8,3,0.001263142,71,1
easy_005,Easy,OMP-BranchBoundMRV,8,4,0.001238108,71,1
easy_005,Easy,OMP-BranchBoundMRV,8,5,0.001848936,71,1
easy_005,Easy,OMP-BranchBoundMRV,16,1,0.024265051,71,1
easy_005,Easy,OMP-BranchBoundMRV,16,2,0.021304131,71,1
easy_005,Easy,OMP-BranchBoundMRV,16,3,0.018144846,71,1
easy_005,Easy,OMP-BranchBoundMRV,16,4,0.017104864,71,1
easy_005,Easy,OMP-BranchBoundMRV,16,5,0.063741922,71,1
easy_006,Easy,Serial,1,1,0.000894209,1806,1
easy_006,Easy,Serial,1,2,0.000877708,1806,1
easy_006,Easy,Serial,1,3,0.000867208,1806,1
easy_006,Easy,Serial,1,4,0.000867542,1806,1
easy_006,Easy,Serial,1,5,0.000866667,1806,1
easy_006,Easy,Serial-MRV,1,1,0.001074792,77,1
easy_006,Easy,Serial-MRV,1,2,0.001052083,77,1
easy_006,Easy,Serial-MRV,1,3,0.001050542,77,1
easy_006,Easy,Serial-MRV,1,4,0.001048625,77,1
easy_006,Easy,Serial-MRV,1,5,0.001060917,77,1
easy_006,Easy,BranchBound,1,1,0.000792667,1806,1
easy_006,Easy,BranchBound,1,2,0.000739375,1806,1
easy_006,Easy,BranchBound,1,3,0.000738834,1806,1
easy_006,Easy,BranchBound,1,4,0.000738750,1806,1
easy_006,Easy,BranchBound,1,5,0.000738583,1806,1
easy_006,Easy,BranchBoundMRV,1,1,0.001437750,77,1
easy_006,Easy,BranchBoundMRV,1,2,0.001414916,77,1
easy_006,Easy,BranchBoundMRV,1,3,0.001410875,77,1
easy_006,Easy,BranchBoundMRV,1,4,0.001418666,77,1
easy_006,Easy,BranchBoundMRV,1,5,0.001423125,77,1
easy_006,Easy,OpenMP,4,1,0.001148939,77,1
easy_006,Easy,OpenMP,4,2,0.001132965,77,1
easy_006,Easy,OpenMP,4,3,0.001137972,77,1
easy_006,Easy,OpenMP,4,4,0.001132965,77,1
easy_006,Easy,OpenMP,4,5,0.001134872,77,1
easy_006,Easy,OpenMP,8,1,0.001146078,77,1
easy_006,Easy,OpenMP,8,2,0.003450155,77,1
easy_006,Easy,OpenMP,8,3,0.010145903,77,1
easy_006,Easy,OpenMP,8,4,0.010547161,77,1
easy_006,Easy,OpenMP,8,5,0.010416985,77,1
easy_006,Easy,OpenMP,16,1,0.044463158,77,1
easy_006,Easy,OpenMP,16,2,0.027959108,77,1
easy_006,Easy,OpenMP,16,3,0.026517868,77,1
easy_006,Easy,OpenMP,16,4,0.028294086,77,1
easy_006,Easy,OpenMP,16,5,0.030939102,77,1
easy_006,Easy,OMP-BranchBoundMRV,4,1,0.001513958,77,1
easy_006,Easy,OMP-BranchBoundMRV,4,2,0.001505136,77,1
easy_006,Easy,OMP-BranchBoundMRV,4,3,0.001508951,77,1
easy_006,Easy,OMP-BranchBoundMRV,4,4,0.001502991,77,1
easy_006,Easy,OMP-BranchBoundMRV,4,5,0.001500130,77,1
easy_006,Easy,OMP-BranchBoundMRV,8,1,0.001517057,77,1
easy_006,Easy,OMP-BranchBoundMRV,8,2,0.003472090,77,1
easy_006,Easy,OMP-BranchBoundMRV,8,3,0.003690958,77,1
easy_006,Easy,OMP-BranchBoundMRV,8,4,0.001523972,77,1
easy_006,Easy,OMP-BranchBoundMRV,8,5,0.003618956,77,1
easy_006,Easy,OMP-BranchBoundMRV,16,1,0.032953978,77,1
easy_006,Easy,OMP-BranchBoundMRV,16,2,0.026157141,77,1
easy_006,Easy,OMP-BranchBoundMRV,16,3,0.034007072,77,1
easy_006,Easy,OMP-BranchBoundMRV,16,4,0.023347855,77,1
easy_006,Easy,OMP-BranchBoundMRV,16,5,0.043960094,77,1
easy_007,Easy,Serial,1,1,0.002706583,5553,1
easy_007,Easy,Serial,1,2,0.002710459,5553,1
easy_007,Easy,Serial,1,3,0.002648875,5553,1
easy_007,Easy,Serial,1,4,0.002680500,5553,1
easy_007,Easy,Serial,1,5,0.002702208,5553,1
easy_007,Easy,Serial-MRV,1,1,0.000664834,51,1
easy_007,Easy,Serial-MRV,1,2,0.000666583,51,1
easy_007,Easy,Serial-MRV,1,3,0.000770958,51,1
easy_007,Easy,Serial-MRV,1,4,0.000755792,51,1
easy_007,Easy,Serial-MRV,1,5,0.000657458,51,1
easy_007,Easy,BranchBound,1,1,0.002649500,5553,1
easy_007,Easy,BranchBound,1,2,0.002567042,5553,1
easy_007,Easy,BranchBound,1,3,0.002542292,5553,1
easy_007,Easy,BranchBound,1,4,0.002524792,5553,1
easy_007,Easy,BranchBound,1,5,0.002558000,5553,1
easy_007,Easy,BranchBoundMRV,1,1,0.000908375,51,1
easy_007,Easy,BranchBoundMRV,1,2,0.000901750,51,1
easy_007,Easy,BranchBoundMRV,1,3,0.001100042,51,1
easy_007,Easy,BranchBoundMRV,1,4,0.000922208,51,1
easy_007,Easy,BranchBoundMRV,1,5,0.001007041,51,1
easy_007,Easy,OpenMP,4,1,0.000741005,51,1
easy_007,Easy,OpenMP,4,2,0.000719070,51,1
easy_007,Easy,OpenMP,4,3,0.000720978,51,1
easy_007,Easy,OpenMP,4,4,0.000715971,51,1
easy_007,Easy,OpenMP,4,5,0.000715017,51,1
easy_007,Easy,OpenMP,8,1,0.003561020,51,1
easy_007,Easy,OpenMP,8,2,0.000730991,51,1
easy_007,Easy,OpenMP,8,3,0.000717163,51,1
easy_007,Easy,OpenMP,8,4,0.000720024,51,1
easy_007,Easy,OpenMP,8,5,0.000713110,51,1
easy_007,Easy,OpenMP,16,1,0.071650982,51,1
easy_007,Easy,OpenMP,16,2,0.023128033,51,1
easy_007,Easy,OpenMP,16,3,0.041811943,51,1
easy_007,Easy,OpenMP,16,4,0.028569937,51,1
easy_007,Easy,OpenMP,16,5,0.026619911,51,1
easy_007,Easy,OMP-BranchBoundMRV,4,1,0.000977039,51,1
easy_007,Easy,OMP-BranchBoundMRV,4,2,0.000974894,51,1
easy_007,Easy,OMP-BranchBoundMRV,4,3,0.000973940,51,1
easy_007,Easy,OMP-BranchBoundMRV,4,4,0.000988007,51,1
easy_007,Easy,OMP-BranchBoundMRV,4,5,0.000968933,51,1
easy_007,Easy,OMP-BranchBoundMRV,8,1,0.003762960,51,1
easy_007,Easy,OMP-BranchBoundMRV,8,2,0.000977993,51,1
easy_007,Easy,OMP-BranchBoundMRV,8,3,0.001268864,51,1
easy_007,Easy,OMP-BranchBoundMRV,8,4,0.007705927,51,1
easy_007,Easy,OMP-BranchBoundMRV,8,5,0.001776934,51,1
easy_007,Easy,OMP-BranchBoundMRV,16,1,0.024379015,51,1
easy_007,Easy,OMP-BranchBoundMRV,16,2,0.060034990,51,1
easy_007,Easy,OMP-BranchBoundMRV,16,3,0.018523932,51,1
easy_007,Easy,OMP-BranchBoundMRV,16,4,0.043589830,51,1
easy_007,Easy,OMP-BranchBoundMRV,16,5,0.011255026,51,1
easy_008,Easy,Serial,1,1,0.000157625,70,1
easy_008,Easy,Serial,1,2,0.000028792,70,1
easy_008,Easy,Serial,1,3,0.000028292,70,1
easy_008,Easy,Serial,1,4,0.000028208,70,1
easy_008,Easy,Serial,1,5,0.000027500,70,1
easy_008,Easy,Serial-MRV,1,1,0.000618625,47,1
easy_008,Easy,Serial-MRV,1,2,0.000535041,47,1
easy_008,Easy,Serial-MRV,1,3,0.000518542,47,1
easy_008,Easy,Serial-MRV,1,4,0.000512542,47,1
easy_008,Easy,Serial-MRV,1,5,0.000512500,47,1
easy_008,Easy,BranchBound,1,1,0.000028083,70,1
easy_008,Easy,BranchBound,1,2,0.000025167,70,1
easy_008,Easy,BranchBound,1,3,0.000025417,70,1
easy_008,Easy,BranchBound,1,4,0.000023917,70,1
easy_008,Easy,BranchBound,1,5,0.000023917,70,1
easy_008,Easy,BranchBoundMRV,1,1,0.000715084,47,1
easy_008,Easy,BranchBoundMRV,1,2,0.000708625,47,1
easy_008,Easy,BranchBoundMRV,1,3,0.000707875,47,1
easy_008,Easy,BranchBoundMRV,1,4,0.000707542,47,1
easy_008,Easy,BranchBoundMRV,1,5,0.000722875,47,1
easy_008,Easy,OpenMP,4,1,0.000579119,47,1
easy_008,Easy,OpenMP,4,2,0.000563860,47,1
easy_008,Easy,OpenMP,4,3,0.000563145,47,1
easy_008,Easy,OpenMP,4,4,0.000566006,47,1
easy_008,Easy,OpenMP,4,5,0.000556946,47,1
easy_008,Easy,OpenMP,8,1,0.000604868,47,1
easy_008,Easy,OpenMP,8,2,0.001150846,47,1
easy_008,Easy,OpenMP,8,3,0.000566006,47,1
easy_008,Easy,OpenMP,8,4,0.000576019,47,1
easy_008,Easy,OpenMP,8,5,0.000573874,47,1
easy_008,Easy,OpenMP,16,1,0.012104988,47,1
easy_008,Easy,OpenMP,16,2,0.010028124,47,1
easy_008,Easy,OpenMP,16,3,0.017960072,47,1
easy_008,Easy,OpenMP,16,4,0.026067019,47,1
easy_008,Easy,OpenMP,16,5,0.033042192,47,1
easy_008,Easy,OMP-BranchBoundMRV,4,1,0.000792027,47,1
easy_008,Easy,OMP-BranchBoundMRV,4,2,0.000771999,47,1
easy_008,Easy,OMP-BranchBoundMRV,4,3,0.000769138,47,1
easy_008,Easy,OMP-BranchBoundMRV,4,4,0.000769138,47,1
easy_008,Easy,OMP-BranchBoundMRV,4,5,0.000761986,47,1
easy_008,Easy,OMP-BranchBoundMRV,8,1,0.005109072,47,1
easy_008,Easy,OMP-BranchBoundMRV,8,2,0.000766039,47,1
easy_008,Easy,OMP-BranchBoundMRV,8,3,0.000766039,47,1
easy_008,Easy,OMP-BranchBoundMRV,8,4,0.000977993,47,1
easy_008,Easy,OMP-BranchBoundMRV,8,5,0.000766039,47,1
easy_008,Easy,OMP-BranchBoundMRV,16,1,0.021336079,47,1
easy_008,Easy,OMP-BranchBoundMRV,16,2,0.016643047,47,1
easy_008,Easy,OMP-BranchBoundMRV,16,3,0.033170938,47,1
easy_008,Easy,OMP-BranchBoundMRV,16,4,0.050062180,47,1
easy_008,Easy,OMP-BranchBoundMRV,16,5,0.044749022,47,1
easy_009,Easy,Serial,1,1,0.000131334,221,1
easy_009,Easy,Serial,1,2,0.000095542,221,1
easy_009,Easy,Serial,1,3,0.000095166,221,1
easy_009,Easy,Serial,1,4,0.000109417,221,1
easy_009,Easy,Serial,1,5,0.000095167,221,1
easy_009,Easy,Serial-MRV,1,1,0.000530000,50,1
easy_009,Easy,Serial-MRV,1,2,0.000525333,50,1
easy_009,Easy,Serial-MRV,1,3,0.000524000,50,1
easy_009,Easy,Serial-MRV,1,4,0.000524417,50,1
easy_009,Easy,Serial-MRV,1,5,0.000523875,50,1
easy_009,Easy,BranchBound,1,1,0.000088209,221,1
easy_009,Easy,BranchBound,1,2,0.000083542,221,1
easy_009,Easy,BranchBound,1,3,0.000083125,221,1
easy_009,Easy,BranchBound,1,4,0.000082875,221,1
easy_009,Easy,BranchBound,1,5,0.000082792,221,1
easy_009,Easy,BranchBoundMRV,1,1,0.000610250,50,1
easy_009,Easy,BranchBoundMRV,1,2,0.000604459,50,1
easy_009,Easy,BranchBoundMRV,1,3,0.000645875,50,1
easy_009,Easy,BranchBoundMRV,1,4,0.000618000,50,1
easy_009,Easy,BranchBoundMRV,1,5,0.000605167,50,1
easy_009,Easy,OpenMP,4,1,0.000589848,50,1
easy_009,Easy,OpenMP,4,2,0.000568867,50,1
easy_009,Easy,OpenMP,4,3,0.000571012,50,1
easy_009,Easy,OpenMP,4,4,0.000571012,50,1
easy_009,Easy,OpenMP,4,5,0.000576973,50,1
easy_009,Easy,OpenMP,8,1,0.004715919,50,1
easy_009,Easy,OpenMP,8,2,0.000599146,50,1
easy_009,Easy,OpenMP,8,3,0.000567198,50,1
easy_009,Easy,OpenMP,8,4,0.003913879,50,1
easy_009,Easy,OpenMP,8,5,0.002055168,50,1
easy_009,Easy,OpenMP,16,1,0.036011219,50,1
easy_009,Easy,OpenMP,16,2,0.031481981,50,1
easy_009,Easy,OpenMP,16,3,0.012511969,50,1
easy_009,Easy,OpenMP,16,4,0.020543098,50,1
easy_009,Easy,OpenMP,16,5,0.020290136,50,1
